,season_year,season_type,week,home_team,home_score,away_team,away_score,team,forced_fumble,fg_block,fumble_rec,fumble_rec_tds,kicking_rec_tds,kickret_tds,puntret_tds,puntret_tds,ints,int_tds,misc_tds,punt_block,safety,sack,xp_block
145,2016,Regular,3,NYG,27,WAS,29,WAS,3,0,1,0,0,0,0,0,2,0,0,0,0,2.0,0
146,2016,Regular,3,NO,32,ATL,45,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0
147,2016,Regular,3,JAC,17,BAL,19,JAC,1,0,1,0,0,0,0,0,2,0,0,0,0,2.0,0
148,2016,Preseason,3,TB,30,CLE,13,CLE,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0
149,2016,Regular,3,NYG,27,WAS,29,NYG,2,0,1,0,0,0,0,0,0,0,0,0,0,2.0,0
150,2016,Regular,3,SEA,37,SF,18,SF,1,0,1,0,0,0,0,0,1,0,0,0,0,2.0,0
151,2016,Regular,3,BUF,33,ARI,18,BUF,1,0,1,1,0,0,0,0,4,0,0,0,0,5.0,0
152,2016,Regular,3,NE,27,HOU,0,NE,2,0,2,0,0,0,0,0,1,0,0,0,0,2.0,0
153,2016,Regular,3,PHI,34,PIT,3,PHI,1,1,1,0,0,0,0,0,1,0,0,0,0,4.0,0
154,2016,Preseason,3,OAK,14,TEN,27,OAK,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
155,2016,Regular,3,NE,27,HOU,0,HOU,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
156,2016,Preseason,3,MIA,17,ATL,6,MIA,2,0,1,0,0,0,0,0,1,0,0,0,0,2.0,0
157,2016,Preseason,3,HOU,34,ARI,24,ARI,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0
158,2016,Regular,3,PHI,34,PIT,3,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
159,2016,Regular,3,DAL,31,CHI,17,CHI,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0
160,2016,Regular,3,GB,34,DET,27,GB,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0
161,2016,Regular,3,TB,32,LA,37,TB,1,0,1,0,0,0,0,0,1,1,0,0,0,1.0,0
162,2016,Regular,3,CAR,10,MIN,22,MIN,0,0,0,0,0,0,1,1,3,0,0,0,1,8.0,0
163,2016,Preseason,3,WAS,21,BUF,16,WAS,1,0,1,0,0,0,0,0,1,0,0,0,0,3.0,0
164,2016,Regular,3,CAR,10,MIN,22,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0
165,2016,Regular,3,KC,24,NYJ,3,KC,3,0,2,1,0,0,0,0,6,1,0,0,0,0.0,0
166,2016,Preseason,3,MIN,23,SD,10,MIN,1,0,1,0,0,0,0,0,3,0,0,0,0,2.0,0
167,2016,Preseason,3,NO,14,PIT,27,PIT,2,0,1,0,0,0,0,0,2,0,0,0,0,1.0,0
168,2016,Preseason,3,SEA,27,DAL,17,SEA,1,0,1,0,0,0,0,0,0,0,0,0,0,4.0,0
169,2016,Preseason,3,CAR,17,NE,19,CAR,2,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0
170,2016,Regular,3,DAL,31,CHI,17,DAL,2,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0
