,season_year,season_type,week,home_team,home_score,away_team,away_score,team,full_name,position,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yac,receiving_yds,fumbles_total,fumble_rec_tds,kicking_rec_tds,kickret_tds,puntret_tds,rushing_att,rushing_yds,rushing_tds,rushing_loss_yards,rushing_twoptm
144,2016,Regular,1,DAL,19,NYG,20,NYG,Sterling Shepard,WR,3,4,1,0,0,6,43,0,0,0,0,0,0,0,0,0,0
145,2016,Regular,1,DAL,19,NYG,20,NYG,Victor Cruz,WR,4,4,1,0,0,4,34,0,0,0,0,0,0,0,0,0,0
146,2016,Regular,1,DEN,21,CAR,20,CAR,Corey Brown,WR,1,2,0,0,0,7,11,0,0,0,0,0,0,0,0,0,0
147,2016,Regular,1,DEN,21,CAR,20,CAR,Devin Funchess,WR,1,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
148,2016,Regular,1,DEN,21,CAR,20,CAR,Kelvin Benjamin,WR,6,12,1,0,0,26,91,0,0,0,0,0,0,0,0,0,0
149,2016,Regular,1,DEN,21,CAR,20,CAR,Ted Ginn,WR,1,1,0,0,0,0,5,0,0,0,0,0,1,20,0,0,0
150,2016,Regular,1,DEN,21,CAR,20,DEN,Demaryius Thomas,WR,4,6,0,0,0,20,48,0,0,0,0,0,0,0,0,0,0
151,2016,Regular,1,DEN,21,CAR,20,DEN,Emmanuel Sanders,WR,5,8,0,0,0,4,49,0,0,0,0,0,0,0,0,0,0
152,2016,Regular,1,HOU,23,CHI,14,CHI,Alshon Jeffery,WR,4,6,0,0,0,15,105,0,0,0,0,0,0,0,0,0,0
153,2016,Regular,1,HOU,23,CHI,14,CHI,Eddie Royal,WR,4,6,1,0,0,5,57,0,0,0,0,0,0,0,0,0,0
154,2016,Regular,1,HOU,23,CHI,14,CHI,Kevin White,WR,3,7,0,0,0,7,34,0,0,0,0,0,0,0,0,0,0
155,2016,Regular,1,HOU,23,CHI,14,HOU,Braxton Miller,WR,1,3,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0
156,2016,Regular,1,HOU,23,CHI,14,HOU,DeAndre Hopkins,WR,5,8,1,0,0,0,54,0,0,0,0,0,0,0,0,0,0
157,2016,Regular,1,HOU,23,CHI,14,HOU,Will Fuller,WR,5,11,1,0,0,48,107,0,0,0,0,0,0,0,0,0,0
158,2016,Regular,1,IND,35,DET,39,DET,Andre Roberts,WR,1,1,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0
159,2016,Regular,1,IND,35,DET,39,DET,Anquan Boldin,WR,3,3,0,0,0,30,35,0,0,0,0,0,0,0,0,0,0
160,2016,Regular,1,IND,35,DET,39,DET,Golden Tate,WR,7,7,0,0,0,32,41,0,0,0,0,0,1,2,0,0,0
161,2016,Regular,1,IND,35,DET,39,DET,Marvin Jones,WR,4,10,0,0,0,29,85,0,0,0,0,0,0,0,0,0,0
162,2016,Regular,1,IND,35,DET,39,IND,Donte Moncrief,WR,6,7,1,0,0,15,64,0,0,0,0,0,0,0,0,0,0
163,2016,Regular,1,IND,35,DET,39,IND,Phillip Dorsett,WR,4,6,0,0,0,5,94,0,0,0,0,0,0,0,0,0,0
164,2016,Regular,1,IND,35,DET,39,IND,T.Y. Hilton,WR,6,12,0,0,0,15,79,0,0,0,0,0,0,0,0,0,0
165,2016,Regular,1,JAC,23,GB,27,GB,Davante Adams,WR,3,7,1,0,0,6,50,0,0,0,0,0,0,0,0,0,0
166,2016,Regular,1,JAC,23,GB,27,GB,Jordy Nelson,WR,6,9,1,0,0,12,32,0,0,0,0,0,0,0,0,0,0
167,2016,Regular,1,JAC,23,GB,27,GB,Randall Cobb,WR,6,8,0,0,0,9,57,0,0,0,0,0,3,11,0,0,0
168,2016,Regular,1,JAC,23,GB,27,JAC,Allen Hurns,WR,4,5,0,0,0,39,75,0,0,0,0,0,0,0,0,0,0
169,2016,Regular,1,JAC,23,GB,27,JAC,Allen Robinson,WR,6,15,0,0,0,17,72,1,0,0,0,0,0,0,0,0,0
170,2016,Regular,1,JAC,23,GB,27,JAC,Marqise Lee,WR,2,4,0,0,0,14,22,0,0,0,0,0,0,0,0,0,0
171,2016,Regular,1,JAC,23,GB,27,JAC,Rashad Greene,WR,1,2,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0
172,2016,Regular,1,KC,33,SD,27,KC,Albert Wilson,WR,3,5,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0
173,2016,Regular,1,KC,33,SD,27,KC,Chris Conley,WR,4,7,0,0,0,9,43,0,0,0,0,0,0,0,0,0,0
174,2016,Regular,1,KC,33,SD,27,KC,Jeremy Maclin,WR,5,7,1,0,0,4,63,0,0,0,0,0,1,-1,0,0,0
175,2016,Regular,1,KC,33,SD,27,KC,Tyreek Hill,WR,1,1,1,0,0,10,9,0,0,0,0,0,0,0,0,0,0
176,2016,Regular,1,KC,33,SD,27,SD,Dontrelle Inman,WR,1,3,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0
