Date, Vis Team, Home Team, Vis Spread, Home Spread, Over Under
12/23/12, Titans, Packers,12.5,-12.5,45
12/23/12, Raiders, Panthers,9,-9,46.5
12/23/12, Bills, Dolphins,4.5,-4.5,41.5
12/23/12, Bengals, Steelers,3.5,-3.5,41.5
12/23/12, Patriots, Jaguars,-14,14,51
12/23/12, Colts, Chiefs,-6,6,41.5
12/23/12, Saints, Cowboys,1,-1,53
12/23/12, Rams, Buccaneers,3,-3,44
12/23/12, Giants, Ravens,-1,1,47.5
12/23/12, Vikings, Texans,9,-9,45
12/23/12, Browns, Broncos,11.5,-11.5,44
12/23/12, Bears, Cardinals,-6,6,37
12/23/12, 49ers, Seahawks,1,-1,39
12/23/12, Chargers, Jets,2.5,-2.5,37.5
12/23/12, Redskins, Eagles,-6,6,45.5
12/30/12, Jets, Bills,3.5,-3.5,39.5
12/30/12, Dolphins, Patriots,10.5,-10.5,47
12/30/12, Ravens, Bengals,2.5,-2.5,0
12/30/12, Jaguars, Titans,999,-999,42
12/30/12, Eagles, Giants,7,-7,45.5
12/30/12, Cowboys, Redskins,3.5,-3.5,49
12/30/12, Bears, Lions,-3,3,44.5
12/30/12, Packers, Vikings,-3,3,45.5
12/30/12, Panthers, Saints,5,-5,54
12/30/12, Chiefs, Broncos,16.5,-16.5,41.5
12/30/12, Texans, Colts,-7,7,47
12/30/12, Cardinals, 49ers,16.5,-16.5,38
12/30/12, Rams, Seahawks,11.5,-11.5,42
12/30/12, Buccaneers, Falcons,3.5,-3.5,45.5
12/30/12, Raiders, Chargers,999,-999,40.5
12/30/12, Browns, Steelers,9.5,-9.5,35
1/5/13, Bengals, Texans,4.5,-4.5,43.5
1/5/13, Vikings, Packers,10.5,-10.5,45
1/6/13, Colts, Ravens,7,-7,47
1/6/13, Seahawks, Redskins,-3,3,46
1/12/13, Packers, 49ers,3,-3,45.5
1/12/13, Ravens, Broncos,9.5,-9.5,45
1/13/13, Texans, Patriots,9,-9,48.5
1/13/13, Seahawks, Falcons,2.5,-2.5,45.5
1/20/13, Ravens, Patriots,9,-9,51
1/20/13, 49ers, Falcons,-3.5,3.5,48
2/3/13, Ravens, 49ers,4,-4,48.5
