Date, Vis Team, Home Team, Vis Spread, Home Spread, Over Under
1/2/11, Buccaneers, Saints,7,-7,46.5
1/2/11, Bears, Packers,11,-11,43.5
1/2/11, Bills, Jets,1,-1,38
1/2/11, Vikings, Lions,3.5,-3.5,43.5
1/2/11, Cowboys, Eagles,-1.5,1.5,43
1/8/11, Jets, Colts,2,-2,44
1/8/11, Saints, Seahawks,-10,10,45.5
1/9/11, Ravens, Chiefs,-3,3,41
1/9/11, Packers, Eagles,2,-2,46.5
1/15/11, Ravens, Steelers,3.5,-3.5,38
1/15/11, Packers, Falcons,0,0,43.5
1/16/11, Jets, Patriots,9.5,-9.5,45
1/16/11, Seahawks, Bears,10,-10,43
1/23/11, Packers, Bears,-3.5,3.5,42
1/23/11, Jets, Steelers,4,-4,38
2/6/11, Jets, Packers,4,-4,44
2/6/11, Steelers, Packers,3,-3,45
