season_year,season_type,week,team,full_name,position,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yac,receiving_yds,fumbles_total,fumble_rec_tds,kicking_rec_tds,kickret_tds,puntret_tds,rushing_att,rushing_yds,rushing_tds,rushing_loss_yards,rushing_twoptm,team_score,opp_score,opp_team,h/a,total_points,rec_percentage,score_percentage,yds_per_rec,yds_per_rush,DK points
2016,Preseason,1,CIN,Brandon Tate,WR,2,2,0,0,0,11,26,0,0,0,0,0,0,0,0,0,0,16,17,MIN,1,0,1.0,0.0,13.0,,4.6
2016,Preseason,1,CIN,Cody Core,WR,3,5,0,0,0,11,33,0,0,0,0,0,0,0,0,0,0,16,17,MIN,1,0,0.6,0.0,11.0,,6.3
2016,Preseason,1,CIN,Jake Kumerow,WR,1,2,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,16,17,MIN,1,0,0.5,0.0,7.0,,1.7
2016,Preseason,1,CIN,James Wright,WR,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,16,17,MIN,1,0,1.0,0.0,8.0,,1.8
2016,Preseason,1,CIN,Mario Alford,WR,1,1,0,0,0,17,14,0,0,0,0,0,0,0,0,0,0,16,17,MIN,1,0,1.0,0.0,14.0,,2.4
2016,Preseason,1,CIN,Tyler Boyd,WR,1,2,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,16,17,MIN,1,0,0.5,0.0,40.0,,5.0
2016,Preseason,1,MIN,Adam Thielen,WR,1,1,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0,17,16,CIN,0,0,1.0,0.0,22.0,,3.2
2016,Preseason,1,MIN,Charles Johnson,WR,1,1,1,0,0,2,49,0,0,0,0,0,0,0,0,0,0,17,16,CIN,0,6,1.0,0.352941176471,49.0,,11.9
2016,Preseason,1,MIN,Isaac Fruechte,WR,2,3,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,17,16,CIN,0,0,0.666666666667,0.0,5.0,,3.0
2016,Preseason,1,MIN,Laquon Treadwell,WR,4,5,0,0,0,37,41,0,0,0,0,0,0,0,0,0,0,17,16,CIN,0,0,0.8,0.0,10.25,,8.1
2016,Preseason,1,MIN,Stefon Diggs,WR,1,1,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,17,16,CIN,0,0,1.0,0.0,8.0,,1.8
2016,Preseason,1,CLE,Rannell Hall,WR,2,4,0,0,0,2,27,0,0,0,0,0,0,0,0,0,0,11,17,GB,0,0,0.5,0.0,13.5,,4.7
2016,Preseason,1,CLE,Rashard Higgins,WR,1,3,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,11,17,GB,0,6,0.333333333333,0.545454545455,10.0,,8.0
2016,Preseason,1,GB,Geronimo Allison,WR,1,3,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,17,11,CLE,1,0,0.333333333333,0.0,10.0,,2.0
2016,Preseason,1,GB,Jared Abbrederis,WR,2,4,0,0,0,12,23,0,0,0,0,0,0,0,0,0,0,17,11,CLE,1,0,0.5,0.0,11.5,,4.3
