season_year,season_type,week,team,full_name,position,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yac,receiving_yds,fumbles_total,fumble_rec_tds,kicking_rec_tds,puntret_tds,kickret_tds,rushing_att,rushing_yds,rushing_tds,rushing_loss_yards,rushing_twoptm,team_score,opp_score,opp_team,h/a,total_points,rec_percentage,score_percentage,yds_per_rec,yds_per_rush,DK points
2016,Regular,1,TEN,Delanie Walker,TE,3,5,0,0,0,16,42,0,0,0,0,0,0,0,0,0,0,16,25,MIN,1,0,0.6,0.0,14.0,,7.2
2016,Regular,1,PIT,Jesse James,TE,5,7,0,0,0,17,31,0,0,0,0,0,0,0,0,0,0,38,16,WAS,0,0,0.714285714286,0.0,6.2,,8.1
2016,Regular,1,WAS,Jordan Reed,TE,7,11,0,0,0,36,64,0,0,0,0,0,0,0,0,0,0,16,38,PIT,1,0,0.636363636364,0.0,9.14285714286,,13.4
2016,Regular,1,WAS,Vernon Davis,TE,1,1,0,0,0,14,20,0,0,0,0,0,0,0,0,0,0,16,38,PIT,1,0,1.0,0.0,20.0,,3.0
2016,Preseason,2,BUF,Chris Gragg,TE,1,1,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,21,0,NYG,1,0,1.0,0.0,14.0,,2.4
2016,Preseason,2,BUF,Nick O'Leary,TE,1,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,21,0,NYG,1,0,1.0,0.0,4.0,,1.4
2016,Preseason,2,NYG,Jerell Adams,TE,1,1,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,21,BUF,0,0,1.0,,8.0,,1.8
2016,Preseason,2,NYG,Will Tye,TE,2,3,0,0,0,9,14,0,0,0,0,0,0,0,0,0,0,0,21,BUF,0,0,0.666666666667,,7.0,,3.4
2016,Preseason,2,ATL,Austin Hooper,TE,1,3,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,24,13,CLE,0,0,0.333333333333,0.0,7.0,,1.7
2016,Preseason,2,ATL,Jacob Tamme,TE,1,1,0,0,0,11,9,0,0,0,0,0,0,0,0,0,0,24,13,CLE,0,0,1.0,0.0,9.0,,1.9
2016,Preseason,2,ATL,Josh Perkins,TE,2,2,0,0,0,1,29,0,0,0,0,0,0,0,0,0,0,24,13,CLE,0,0,1.0,0.0,14.5,,4.9
2016,Preseason,2,ATL,Levine Toilolo,TE,1,2,0,0,0,6,13,0,0,0,0,0,0,0,0,0,0,24,13,CLE,0,0,0.5,0.0,13.0,,2.3
2016,Preseason,2,CLE,Gary Barnidge,TE,2,2,1,0,0,2,26,0,0,0,0,0,0,0,0,0,0,13,24,ATL,1,6,1.0,0.461538461538,13.0,,10.6
2016,Preseason,2,CLE,J.P. Holtz,TE,1,1,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,13,24,ATL,1,0,1.0,0.0,6.0,,1.6
2016,Preseason,2,CLE,Randall Telfer,TE,1,1,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,13,24,ATL,1,0,1.0,0.0,30.0,,4.0
2016,Preseason,2,DAL,Gavin Escobar,TE,1,1,0,0,0,12,8,0,0,0,0,0,0,0,0,0,0,41,14,MIA,1,0,1.0,0.0,8.0,,1.8
2016,Preseason,2,DAL,Geoff Swaim,TE,2,2,0,0,0,6,29,0,0,0,0,0,0,0,0,0,0,41,14,MIA,1,0,1.0,0.0,14.5,,4.9
2016,Preseason,2,DAL,Jason Witten,TE,2,2,0,0,0,12,24,0,0,0,0,0,0,0,0,0,0,41,14,MIA,1,0,1.0,0.0,12.0,,4.4
2016,Preseason,2,MIA,Dion Sims,TE,2,2,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,14,41,DAL,0,0,1.0,0.0,5.5,,3.1
2016,Preseason,2,MIA,Dominique Jones,TE,2,3,0,0,0,9,36,0,0,0,0,0,0,0,0,0,0,14,41,DAL,0,0,0.666666666667,0.0,18.0,,5.6
2016,Preseason,2,MIA,Jordan Cameron,TE,1,2,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,14,41,DAL,0,0,0.5,0.0,5.0,,1.5
2016,Preseason,2,DEN,Henry Krieger-Coble,TE,3,3,0,0,0,12,30,0,0,0,0,0,0,0,0,0,0,24,31,SF,1,0,1.0,0.0,10.0,,6.0
2016,Preseason,2,DEN,John Phillips,TE,2,5,1,0,0,2,17,0,0,0,0,0,0,0,0,0,0,24,31,SF,1,6,0.4,0.25,8.5,,9.7
2016,Preseason,2,DEN,Virgil Green,TE,4,4,0,0,0,33,57,0,0,0,0,0,0,0,0,0,0,24,31,SF,1,0,1.0,0.0,14.25,,9.7
2016,Preseason,2,SF,Garrett Celek,TE,2,2,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,31,24,DEN,0,0,1.0,0.0,7.0,,3.4
2016,Preseason,2,SF,Je'Ron Hamm,TE,1,1,0,0,0,11,23,0,0,0,0,0,0,0,0,0,0,31,24,DEN,0,0,1.0,0.0,23.0,,3.3
2016,Preseason,2,SF,Vance McDonald,TE,3,4,0,0,0,13,38,0,0,0,0,0,0,0,0,0,0,31,24,DEN,0,0,0.75,0.0,12.6666666667,,6.8
2016,Preseason,2,CIN,Matt Lengel,TE,1,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,30,14,DET,0,0,1.0,0.0,7.0,,1.7
2016,Preseason,2,DET,Cole Wick,TE,2,2,0,0,0,9,26,0,0,0,0,0,0,0,0,0,0,14,30,CIN,1,0,1.0,0.0,13.0,,4.6
2016,Preseason,2,GB,Jared Cook,TE,2,2,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,20,12,OAK,1,0,1.0,0.0,8.0,,3.6
2016,Preseason,2,GB,Kennard Backman,TE,2,2,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,20,12,OAK,1,0,1.0,0.0,5.5,,3.1
2016,Preseason,2,HOU,Anthony Denham,TE,1,1,0,0,0,10,13,0,0,0,0,0,0,0,0,0,0,16,9,NO,1,0,1.0,0.0,13.0,,2.3
2016,Preseason,2,HOU,C.J. Fiedorowicz,TE,1,1,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,16,9,NO,1,0,1.0,0.0,3.0,,1.3
2016,Preseason,2,HOU,Ryan Griffin,TE,1,2,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,16,9,NO,1,0,0.5,0.0,9.0,,1.9
2016,Preseason,2,HOU,Stephen Anderson,TE,2,4,0,0,0,12,21,0,0,0,0,0,0,0,0,0,0,16,9,NO,1,0,0.5,0.0,10.5,,4.1
2016,Preseason,2,NO,Chris Manhertz,TE,2,4,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,9,16,HOU,0,0,0.5,0.0,11.5,,4.3
2016,Preseason,2,NO,Coby Fleener,TE,2,2,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,9,16,HOU,0,0,1.0,0.0,6.0,,3.2
